GENOMIC,GENUS,SPECIES,FIELD_POP ID,GREENHOUSE,VOUCHER SPECIMEN,COLLECTION DATE,PROVENANCE,COUNTRY,STATE_PROVINCE,SPECIFIC LOCALITY,LATITUDE,LONGITUDE,NOTES,MATERIAL,NANODROP CONCENTRATION (ng/uL),NANODROP 260:280 RATIO,PUBLISHED
,Lycium,amoenum,05-171,,Miller et al. 05-171,8/5/2005,Africa,South Africa,Northern Cape,Off N7 right outside of Kamieskroon,-30.289,17.897,,silica,,,
484,Lycium,amoenum,05-177,,Miller et al. 05-177,8/5/2005,Africa,South Africa,Western Cape,1/2 km from ocean. Road between Doring Bay and Lambert's Bay,-31.859,18.275,,silica,,,
,Lycium,amoenum,05-179,,Miller et al. 05-179,8/5/2005,Africa,South Africa,Western Cape,Road to Lambert's Bay,-31.92,18.303,,silica,,,
,Lycium,amoenum,05-180,,Miller et al. 05-180,8/5/2005,Africa,South Africa,Western Cape,Road to Lambert's Bay,-31.92,18.303,,silica,,,
,Lycium,amoenum,05-190,,Miller et al. 05-190,8/7/2005,Africa,South Africa,Western Cape,R364 between Butterkloof and Pakhuis Passes,-32.038,19.191,on clay-gravel flats,silica,,,
554,Lycium,amoenum,05-197,,Miller et al. 05-197,8/8/2005,Africa,South Africa,Western Cape,West Coast National Park near Seeberg birdhide,-33.125,18.061,,silica,,,
3279,Lycium,amoenum,22-104,,same population as Miller et al. 05-177,8/21/2022,Africa,South Africa,Western Cape,Coastal road between Doring Bay & Lamberts Bay,-31.9207,18.3019,22-104, ,,,
,Lycium,amoenum cf. ,Miller et al. 05-99,,Miller and Levin 06-67,9/10/2006,Africa,South Africa,Northern Cape,"along R27 between Calvinia and Nieuwoudtville, 26.5 km east of Nieuwoudtville",-31.488,19.363,"AMV; roadside red clay soil with Aizoaceae, male",pickled material; buds #3,,,
"664, 797",Lycium,andersonii,06-01,,Miller and Levin 06-01,3/15/2006,North America,United States,Arizona; Pinal Co.,"just north of Park Links Drive on east side of I-10 frontage road towards Picacho Peak, Red Rock exit",32.596,-111.341,,"silica, buds",,,
1000,Lycium,andersonii,08-20,,Miller and Levin 08-20,3/17/2008,North America,United States,California,"Hwy 62, just E of Vidal Junct, Creosote Flats",34.186,-114.423,-13, ,,,
1001,Lycium,andersonii,08-22,,Miller and Levin 08-22,3/19/2008,North America,United States,California,Hwy 78 right by junct 52,33.1,-116.467,, ,,,
3530,Lycium,andersonii,08-26,,Miller and Levin 08-26,,North America,United States,California,"Hwy 247, 5.1 mi W of Yucca Valley",,,, ,,,
,Lycium,andersonii,S42-08,,Levin and Miller 08-26,3/23/2008,North America,United States,California,"Hwy 247, 5.1 mi W of Yucca Valley",34.193,-116.439,full flower; (027 waypt.), ,,,
998,Lycium,andersonii,BCS-29,,Levin and Miller 09-10,1/11/2009,North America,Mexico,Baja California Sur,,24.976,-111.854,east of Puerto San Carlos,"silica, styles",,,
,Lycium,andersonii,Miller & Levin 10-10,,Miller & Levin 10-05,1/10/2010,North America,Mexico,Baja California Sur,,27.4116,-112.574,"in wash w/ cardons, palo verde, Encelia and cholla. ", ,,,
,Lycium,andersonii,Style collection 10-17,,Miller & Levin 10-17,1/12/2010,North America,Mexico,Baja California Sur,"roadside north of Santa Rosalilita, turnoff at km 33",28.775,-114.108,"roadside north of Santa Rosalilita, turnoff at km 33", ,,,
,Lycium,andersonii,Style collection 10-21,,Miller & Levin 10-21,1/12/2010,North America,Mexico,Baja California,roadside on road to Bahia de los Angeles,29.0476,-113.93,roadside on road to Bahia de los Angeles, ,,,
667,Lycium,andersonii,06-09,,Miller and Levin 06-09,3/15/2006,North America,United States,Arizona; Pinal Co.,"north of Park Links Drive, east side of railroad tracks on east side of I-10 frontage road towards Picacho Peak, Red Rock exit",32.613,-111.356,,silica,,,
669,Lycium,andersonii,06-12,,Miller and Levin 06-12,3/17/2006,North America,United States,Arizona; Pima Co.,"Ajo Way, W of Robles Junction, roadside, between mile markers 149 and 148",32.074,-111.351,,silica,,,
671,Lycium,andersonii,06-17,,Miller and Levin no voucher,3/17/2006,North America,United States,Arizona; Pima Co.,Ajo Way (Hwy 86) between mile marker 148 and 147,32.07,-111.359,,silica,,,
672,Lycium,andersonii,06-18,,Miller and Levin no voucher,3/17/2006,North America,United States,Arizona; Pima Co.,"Road towards Buenos Aires Refuge, ca. 2 mi S of Robles Junction in mesquite grassland",32.052,-111.327,,silica,,,
